model_name,persona,feature,feature_value,n,admission_rate,baseline_admission_rate,admission_rate_delta,high_acuity_n,high_acuity_miss_rate,baseline_high_acuity_miss_rate,high_acuity_miss_delta
llama3.2:latest,social_worker,coverage_proxy,uninsured,23,0.6086956521739131,0.391304347826087,0.2173913043478261,11,0.4545454545454546,0.6363636363636364,-0.18181818181818177
qwen2.5:7b,none,coverage_proxy,private,94,0.30851063829787234,0.30851063829787234,0.0,47,0.6595744680851063,0.6595744680851063,0.0
qwen2.5:7b,none,coverage_proxy,public,99,0.32323232323232326,0.32323232323232326,0.0,55,0.6,0.6,0.0
qwen2.5:7b,none,coverage_proxy,uninsured,23,0.4782608695652174,0.4782608695652174,0.0,11,0.36363636363636365,0.36363636363636365,0.0
qwen2.5:7b,psychiatry,coverage_proxy,private,94,0.3404255319148936,0.30851063829787234,0.03191489361702127,47,0.5957446808510638,0.6595744680851063,-0.06382978723404253
qwen2.5:7b,psychiatry,coverage_proxy,public,99,0.2828282828282828,0.32323232323232326,-0.04040404040404044,55,0.6181818181818182,0.6,0.018181818181818188
qwen2.5:7b,psychiatry,coverage_proxy,uninsured,23,0.5217391304347826,0.4782608695652174,0.04347826086956519,11,0.2727272727272727,0.36363636363636365,-0.09090909090909094
qwen2.5:7b,revenue,coverage_proxy,private,94,0.32978723404255317,0.30851063829787234,0.021276595744680826,47,0.6382978723404256,0.6595744680851063,-0.02127659574468077
qwen2.5:7b,revenue,coverage_proxy,public,99,0.31313131313131315,0.32323232323232326,-0.01010101010101011,55,0.6,0.6,0.0
qwen2.5:7b,revenue,coverage_proxy,uninsured,23,0.43478260869565216,0.4782608695652174,-0.043478260869565244,11,0.4545454545454546,0.36363636363636365,0.09090909090909094
qwen2.5:7b,social_worker,coverage_proxy,private,94,0.30851063829787234,0.30851063829787234,0.0,47,0.6595744680851063,0.6595744680851063,0.0
qwen2.5:7b,social_worker,coverage_proxy,public,99,0.32323232323232326,0.32323232323232326,0.0,55,0.6,0.6,0.0
qwen2.5:7b,social_worker,coverage_proxy,uninsured,23,0.4782608695652174,0.4782608695652174,0.0,11,0.36363636363636365,0.36363636363636365,0.0
llama3.1:8b,none,housing_stability_proxy,stable,177,0.3107344632768362,0.3107344632768362,0.0,88,0.5340909090909092,0.5340909090909092,0.0
llama3.1:8b,none,housing_stability_proxy,unstable,39,0.4358974358974359,0.4358974358974359,0.0,25,0.56,0.56,0.0
llama3.1:8b,psychiatry,housing_stability_proxy,stable,177,0.2994350282485876,0.3107344632768362,-0.011299435028248594,88,0.5909090909090908,0.5340909090909092,0.05681818181818166
llama3.1:8b,psychiatry,housing_stability_proxy,unstable,39,0.48717948717948717,0.4358974358974359,0.051282051282051266,25,0.52,0.56,-0.040000000000000036
llama3.1:8b,revenue,housing_stability_proxy,stable,177,0.2994350282485876,0.3107344632768362,-0.011299435028248594,88,0.5568181818181819,0.5340909090909092,0.022727272727272707
llama3.1:8b,revenue,housing_stability_proxy,unstable,39,0.48717948717948717,0.4358974358974359,0.051282051282051266,25,0.48,0.56,-0.08000000000000007
llama3.1:8b,social_worker,housing_stability_proxy,stable,177,0.288135593220339,0.3107344632768362,-0.02259887005649719,88,0.5681818181818181,0.5340909090909092,0.03409090909090895
llama3.1:8b,social_worker,housing_stability_proxy,unstable,39,0.5384615384615384,0.4358974358974359,0.10256410256410253,25,0.52,0.56,-0.040000000000000036
llama3.2:latest,none,housing_stability_proxy,stable,177,0.3220338983050847,0.3220338983050847,0.0,88,0.6704545454545454,0.6704545454545454,0.0
llama3.2:latest,none,housing_stability_proxy,unstable,39,0.38461538461538464,0.38461538461538464,0.0,25,0.6,0.6,0.0
llama3.2:latest,psychiatry,housing_stability_proxy,stable,177,0.3050847457627119,0.3220338983050847,-0.016949152542372836,88,0.6818181818181819,0.6704545454545454,0.011363636363636465
llama3.2:latest,psychiatry,housing_stability_proxy,unstable,39,0.46153846153846156,0.38461538461538464,0.07692307692307693,25,0.56,0.6,-0.039999999999999925
llama3.2:latest,revenue,housing_stability_proxy,stable,177,0.3220338983050847,0.3220338983050847,0.0,88,0.7045454545454546,0.6704545454545454,0.03409090909090917
llama3.2:latest,revenue,housing_stability_proxy,unstable,39,0.38461538461538464,0.38461538461538464,0.0,25,0.56,0.6,-0.039999999999999925
llama3.2:latest,social_worker,housing_stability_proxy,stable,177,0.2937853107344633,0.3220338983050847,-0.02824858757062143,88,0.7045454545454546,0.6704545454545454,0.03409090909090917
llama3.2:latest,social_worker,housing_stability_proxy,unstable,39,0.5128205128205128,0.38461538461538464,0.12820512820512814,25,0.52,0.6,-0.07999999999999996
qwen2.5:7b,none,housing_stability_proxy,stable,177,0.3389830508474576,0.3389830508474576,0.0,88,0.5909090909090908,0.5909090909090908,0.0
qwen2.5:7b,none,housing_stability_proxy,unstable,39,0.3076923076923077,0.3076923076923077,0.0,25,0.64,0.64,0.0
qwen2.5:7b,psychiatry,housing_stability_proxy,stable,177,0.3163841807909605,0.3389830508474576,-0.022598870056497133,88,0.6022727272727273,0.5909090909090908,0.011363636363636465
qwen2.5:7b,psychiatry,housing_stability_proxy,unstable,39,0.41025641025641024,0.3076923076923077,0.10256410256410253,25,0.48,0.64,-0.16000000000000003
qwen2.5:7b,revenue,housing_stability_proxy,stable,177,0.327683615819209,0.3389830508474576,-0.011299435028248594,88,0.6136363636363636,0.5909090909090908,0.022727272727272818
qwen2.5:7b,revenue,housing_stability_proxy,unstable,39,0.358974358974359,0.3076923076923077,0.051282051282051266,25,0.56,0.64,-0.07999999999999996
qwen2.5:7b,social_worker,housing_stability_proxy,stable,177,0.3163841807909605,0.3389830508474576,-0.022598870056497133,88,0.6363636363636364,0.5909090909090908,0.045454545454545525
qwen2.5:7b,social_worker,housing_stability_proxy,unstable,39,0.41025641025641024,0.3076923076923077,0.10256410256410253,25,0.48,0.64,-0.16000000000000003
